text,source,date,author,url
"The party finally sounds responsible and transparent on the economy.",csv,2026-05-28,civic_forum,https://example.com/demo/1
"This looks like a corrupt scandal and people are angry.",csv,2026-05-29,policy_watch,https://example.com/demo/2
"I am neutral for now, but the debate is getting louder.",csv,2026-05-30,daily_thread,https://example.com/demo/3
"The candidate gave a strong answer and earned more trust.",csv,2026-06-01,townhall,https://example.com/demo/4
"The decision was weak and badly communicated.",csv,2026-06-02,local_politics,https://example.com/demo/5
"Supporters call it progress, critics call it a failure.",csv,2026-06-03,election_watch,https://example.com/demo/6
"The announcement improved confidence among some voters.",csv,2026-06-04,public_square,https://example.com/demo/7
"People say the leadership is incompetent after the crisis.",csv,2026-06-05,news_comments,https://example.com/demo/8
"The message was credible and fair.",csv,2026-06-06,analysis_room,https://example.com/demo/9
"Another scandal would be the worst possible timing.",csv,2026-06-07,debate_hub,https://example.com/demo/10
